series,x,mean,ci_low,ci_high,seed_20260901,seed_20260902,seed_20260903,seed_20260904,seed_20260905,seed_20260906,seed_20260907,seed_20260908
effective_response_magnitude,0.7578125,0.817310667,0.807621033,0.827000301,0.807032628,0.808901991,0.822093646,0.818713874,0.816371868,0.800529413,0.832384109,0.832457805
effective_response_magnitude,0.765625,0.824146257,0.813765195,0.834527319,0.815230674,0.816837241,0.828374666,0.824283616,0.82539995,0.80334174,0.839209889,0.840492279
effective_response_magnitude,0.7734375,0.833001928,0.821701782,0.844302074,0.825376229,0.826973193,0.836574001,0.83268187,0.836019975,0.807865629,0.848316766,0.850207761
effective_response_magnitude,0.78125,0.842382195,0.830076609,0.85468778,0.835696817,0.837786026,0.845314415,0.84233769,0.846734501,0.813006598,0.858103015,0.860078496
effective_response_magnitude,0.7890625,0.850871616,0.837610275,0.864132957,0.844620467,0.847796451,0.853157357,0.85173799,0.856169887,0.817726595,0.867034694,0.868729487
effective_response_magnitude,0.796875,0.857254839,0.843201555,0.871308123,0.850842243,0.85565969,0.858860082,0.859555028,0.863143385,0.821163244,0.873804202,0.87501084
effective_response_magnitude,0.8046875,0.86060988,0.846010952,0.875208807,0.853397777,0.860285882,0.861541382,0.864723932,0.866752446,0.822675038,0.877439045,0.878063534
effective_response_magnitude,0.8125,0.860396283,0.845537947,0.875254619,0.851776658,0.86096618,0.860764419,0.866542111,0.866456422,0.821874647,0.877387864,0.877401961
effective_response_magnitude,0.8203125,0.856540819,0.841704506,0.871377133,0.846027753,0.857486183,0.856571605,0.86478971,0.862158166,0.81870098,0.873595973,0.872996184
effective_response_magnitude,0.828125,0.84949852,0.834921293,0.864075746,0.836807514,0.850222312,0.849479377,0.859813582,0.854282002,0.813500665,0.866557079,0.865325628
effective_response_magnitude,0.8359375,0.840263983,0.826105419,0.854422547,0.825362784,0.840197368,0.84044517,0.852530506,0.843819978,0.807052143,0.857313145,0.855390767
effective_response_magnitude,0.84375,0.830309554,0.816636852,0.843982256,0.813449548,0.829050756,0.830801303,0.844335935,0.832315893,0.800499382,0.847366111,0.844657505
effective_response_magnitude,0.8515625,0.821415677,0.808234236,0.834597119,0.803154074,0.81886351,0.822112322,0.836904613,0.821740512,0.795196254,0.838463917,0.834890216
effective_response_magnitude,0.859375,0.81535761,0.802693757,0.828021463,0.796557833,0.811781864,0.815904477,0.831865348,0.814179822,0.792464172,0.832257857,0.827849508
effective_response_magnitude,0.8671875,0.813463503,0.801433633,0.825493373,0.795254979,0.80944793,0.813279273,0.830399664,0.811272322,0.793245456,0.829913351,0.824895052
effective_response_magnitude,0.875,0.816184612,0.80494098,0.827428243,0.799832148,0.812441552,0.814578675,0.832923736,0.81356365,0.797698376,0.831818853,0.826619901
effective_response_magnitude,0.8828125,0.822944089,0.812502808,0.83338537,0.809495579,0.820115583,0.819341356,0.838984908,0.820315756,0.805096022,0.837514363,0.832689145
effective_response_magnitude,0.890625,0.832394206,0.822530929,0.842257482,0.822297276,0.830923279,0.826548494,0.847409202,0.829941766,0.814193136,0.845870046,0.841970446
effective_response_magnitude,0.8984375,0.842869968,0.833216845,0.852523092,0.835962331,0.842930902,0.834933336,0.856651425,0.840582093,0.823627048,0.855407186,0.852865423
effective_response_magnitude,0.90625,0.852756401,0.842994195,0.862518607,0.848542262,0.854244849,0.843203599,0.865161507,0.850502467,0.832137631,0.864598983,0.86365991
effective_response_magnitude,0.9140625,0.86068204,0.850651526,0.870712554,0.858630966,0.863269743,0.850165645,0.871609777,0.858292565,0.838651985,0.872065783,0.872769857
effective_response_magnitude,0.921875,0.86557693,0.85526913,0.87588473,0.865303039,0.868815652,0.854788485,0.874966757,0.862915175,0.84229049,0.876666774,0.878869067
effective_response_magnitude,0.9296875,0.866658222,0.856151811,0.877164634,0.867906098,0.870105569,0.856242842,0.87450224,0.863667898,0.842356385,0.877533275,0.880951471
effective_response_magnitude,0.9375,0.863416299,0.852823091,0.874009507,0.865910486,0.866740462,0.85394058,0.869764404,0.860127704,0.838364631,0.874100012,0.878382115
effective_response_magnitude,0.9453125,0.85565295,0.845084154,0.866221746,0.858983813,0.858676984,0.847592257,0.860586254,0.852141446,0.830117753,0.86616891,0.870956181
effective_response_magnitude,0.953125,0.843565451,0.833105811,0.854025091,0.847191651,0.846250438,0.837287914,0.84715154,0.839889553,0.817799638,0.853995347,0.858957526
effective_response_magnitude,0.9609375,0.827843201,0.817526497,0.838159905,0.831161974,0.830237849,0.823588209,0.830116909,0.824005383,0.802065058,0.838364299,0.843205927
effective_response_magnitude,0.96875,0.809751361,0.799544899,0.819957822,0.812181878,0.811931637,0.807604462,0.810744901,0.805706164,0.784118986,0.820633813,0.825089044
effective_response_magnitude,0.9765625,0.791178039,0.780991037,0.80136504,0.792246834,0.793188767,0.791043777,0.790988447,0.786883233,0.765774768,0.802728331,0.806570152
effective_response_magnitude,0.984375,0.774600722,0.764328643,0.784872801,0.774050558,0.776417181,0.776176802,0.773458233,0.770081967,0.74944407,0.787041351,0.790135616
effective_response_magnitude,0.9921875,0.762867248,0.752463377,0.773271119,0.760841245,0.764437928,0.765626793,0.761143223,0.758234393,0.737924527,0.776153924,0.77857595
effective_response_magnitude,1,0.758574744,0.748104338,0.769045151,0.755895522,0.760006371,0.76176835,0.756671863,0.753925248,0.733729086,0.772231266,0.774370248
